,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177970,177970,7405282,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177971,177971,7405283,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177972,177972,7405284,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,3,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177973,177973,7405285,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177974,177974,7405286,235644,18105030,1,11,2,1,2,2,2,1,1,2,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,3,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177975,177975,7405287,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177976,177976,7405288,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177977,177977,7405289,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177978,177978,7405290,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177979,177979,7405291,235644,18105030,9,15,2,1,2,2,2,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
