,Unnamed: 0,VIVIENDA_REF_ID,SEGMENTO_REF_ID,VIVIENDA,MANZANA,CONDOCUP,VIVCOLECT,TIPOVIV,CANTHOGAR,PAREDES,TECHO,PISOS,ELECTRIC,AGUA,OBTAGUA,CMV60UNBI,CMV61HJEF,CMV29PEVI,CMV27ARPO,CMV79NCAJ,CMV16CTOS,CMV15TCAS,CMV14INOD,CMV13DINO,CMV23NBI,CMV2AHACI,CMV2BTIVI,CMV2CRETR,CMV2DEDES,CMV2ECASU,CMV08PERS,CMV05TALO,CMV24LOCO,PROVORIG,RADIO_REF_ID,SEGMENTO,FRACCION_REF_ID,RADIO,DEPTO_REF_ID,FRACCION,PROVIN_REF_ID,DEPTO,NOMBDEPTO,RC91
80674,80674,1907495,127566,15,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,2,0,0,1,0,1,1,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80675,80675,1907496,127566,16,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80676,80676,1907497,127567,1,009,1,10,2,1,1,3,2,1,3,4,4,100,1,0,430096,100,0,3,7,0,0,0,0,0,0,6,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80677,80677,1907498,127567,2,009,1,10,2,1,2,6,3,3,3,4,4,100,1,0,430096,100,0,3,7,0,0,0,0,0,0,2,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80678,80678,1907499,127567,4,009,1,10,2,1,2,5,3,1,3,4,4,100,1,0,430096,100,0,3,7,4,1,1,1,0,1,5,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80679,80679,1907500,127567,5,009,1,10,2,1,2,5,3,3,3,4,4,100,1,0,430096,100,0,3,7,0,0,0,0,0,0,3,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80680,80680,1907501,127567,6,009,1,10,2,1,2,5,3,3,3,4,4,100,1,0,430096,100,0,3,7,1,1,0,0,0,0,4,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80681,80681,1907502,127567,7,009,1,10,2,1,2,5,3,3,3,4,4,100,1,0,430096,100,0,3,7,3,1,1,1,0,0,7,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80682,80682,1907503,127567,8,009,1,10,2,1,2,5,3,3,3,4,4,100,1,0,430096,100,0,3,7,1,1,0,0,0,0,6,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80683,80683,1907504,127567,9,009,1,10,1,1,1,3,3,2,3,4,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,2,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80684,80684,1907505,127567,10,009,1,10,1,1,1,4,2,1,1,1,4,100,1,0,430096,100,1,0,2,0,0,0,0,0,0,4,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80685,80685,1907506,127567,11,009,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430096,100,1,0,1,0,0,0,0,0,0,3,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80686,80686,1907507,127567,12,009,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430096,100,1,0,2,0,0,0,0,0,0,4,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80687,80687,1907508,127567,13,009,1,10,1,1,1,3,3,1,2,1,4,100,1,0,430096,100,2,0,2,0,0,0,0,0,0,3,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80688,80688,1907509,127567,14,009,1,10,1,1,1,3,2,1,3,3,4,100,1,0,430096,100,2,3,7,1,1,0,0,0,0,7,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80689,80689,1907510,127567,15,009,1,10,1,1,1,3,3,3,3,4,4,100,1,0,430096,100,2,3,7,1,0,0,1,0,0,3,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80690,80690,1907511,127567,16,009,1,10,1,1,1,3,1,1,2,1,4,100,1,0,430096,100,2,0,2,0,0,0,0,0,0,2,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80691,80691,1907512,127567,17,009,1,10,1,1,1,3,1,1,3,3,4,100,1,0,430096,100,2,3,7,1,1,0,0,0,0,7,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80692,80692,1907513,127567,18,009,1,10,1,1,1,3,2,1,3,3,4,100,1,0,430096,100,2,3,7,1,0,0,0,0,1,2,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80693,80693,1907514,127567,19,009,1,10,2,1,1,5,3,1,3,4,4,100,1,0,430096,100,0,3,7,2,0,0,1,1,0,6,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80694,80694,1907515,127567,20,009,1,10,1,1,1,3,2,2,3,2,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,2,6,3800,18,21293,5,2461,01,205,01,5,105,Mercedes                                          ,181050101
80695,80695,1907516,127568,1,010,1,10,1,1,1,3,2,1,2,1,4,100,1,0,430096,100,2,0,2,0,0,0,0,0,0,9,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80696,80696,1907517,127568,2,010,1,10,1,1,1,1,2,1,2,1,4,100,1,0,430096,100,2,0,2,1,0,0,0,0,1,7,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80697,80697,1907518,127568,3,010,1,10,1,1,1,5,3,1,2,1,4,100,1,0,430096,100,2,3,7,1,0,0,0,0,1,4,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80698,80698,1907519,127568,4,010,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430096,100,1,0,2,1,0,0,0,0,1,1,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80699,80699,1907520,127568,5,010,1,10,1,1,1,5,3,3,3,1,4,100,1,0,430096,100,2,3,7,2,1,0,0,1,0,8,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80700,80700,1907521,127568,6,010,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430096,100,1,0,2,0,0,0,0,0,0,7,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80701,80701,1907522,127568,7,010,1,10,1,1,1,5,1,1,1,1,4,100,1,0,430096,100,1,0,2,0,0,0,0,0,0,2,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80702,80702,1907523,127568,8,010,1,10,1,1,1,5,3,1,2,1,4,100,1,0,430096,100,2,3,7,1,0,0,1,0,0,2,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80703,80703,1907524,127568,9,010,1,10,9,1,1,1,6,1,8,8,4,100,1,0,430096,100,0,8,7,1,0,0,1,0,0,1,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80704,80704,1907525,127568,10,010,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430096,100,1,0,2,1,0,0,0,0,1,6,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
80705,80705,1907526,127568,11,010,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430096,100,1,0,2,1,1,0,0,0,0,10,6,3800,18,21293,6,2461,01,205,01,5,105,Mercedes                                          ,181050101
